// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 1
//
//    FLOOR_2560X150 = 0
//    FLOOR_2560X300 = 1
//    PLAT_150X50_FIXED = 2 
//    PLAT_150X50_MOBILE_H = 3
//    PLAT_150X50_MOBILE_V = 4
//    PLAT_200X100 = 5
//    FLOOR_1280X300 = 6
//    PLAT_400X100 = 7
//    PLAT_600X300 = 8
//    PLAT_400X150 = 9 
//    PLAT_400X400 = 10
//
//  posX    posY    platType
    200     500     4
    500     400     4
    800     250     4
    1100    400     4
    1400    200     4
    1750    400     3

    2500    550     8
    3000    350     2
    3300    250     2
    3600    650     2
    3900    450     2

    4800    550     6
    4850    280     2
    5150    150     2
    5450    150     2
    5750    100     2

    5780    400     2

    6800    550     6
    7780    300     2
    8300    450     4
    8700    550     4
