// Gravity Guy
// Criação:        14 Fev 2013
// Atualização:    27 Set 2021
// Descrição:   Posição das plataformas do nível 2
//
//    FLOOR_2560X150 = 0
//    FLOOR_2560X300 = 1
//    PLAT_150X50_FIXED = 2 
//    PLAT_150X50_MOBILE_H = 3
//    PLAT_150X50_MOBILE_V = 4
//    PLAT_200X100 = 5
//    FLOOR_1280X300 = 6
//    PLAT_400X100 = 7
//    PLAT_600X300 = 8
//    PLAT_400X150 = 9 
//    PLAT_400X400 = 10
//
//  posX    posY    platType
    640     570     6
    395     370     2
    910     370     2
    2560    645     0
    1875    445     3
    2555    445     3
    3235    445     3
    4040    440     5
    4600    570     8
    5080    370     7
    5560    570     8
    6170    350     5
    6620    550     5
    7305    570     8
    7785    370     7
    8225    570     8
    8790    550     5
    9130    460     5
    9450    370     5
    9840    520     10
    10290   405     3
    10635   605     2
    10985   495     4
    11535   570     8
    11635   520     10
   
    
